match,p1_pack,p2_pack,first_player,seed,result,winner,win_reason,steps,turns,rounds,reactions_played,reactions_passed,choices_resolved,p1_tasks,p2_tasks,p1_lp,p2_lp,p1_deck_remaining,p2_deck_remaining
1,1,1,P1,10001,PASS,P2,tasks,288,12,6,0,60,55,8,10,2500,2500,12,17
2,1,1,P2,10002,PASS,P2,tasks,298,13,7,0,66,50,9,10,2500,2500,13,10
3,1,2,P1,10038,PASS,P1,tasks,260,11,6,2,60,40,10,9,2500,2500,21,12
4,1,2,P2,10039,PASS,P1,tasks,251,10,5,3,55,50,10,7,2500,2500,22,19
5,1,3,P1,10075,PASS,P1,tasks,249,13,7,1,51,41,10,3,2500,2500,14,25
6,1,3,P2,10076,PASS,P1,tasks,425,22,11,1,91,65,10,9,2500,2500,1,15
7,1,4,P1,10112,PASS,P2,tasks,281,12,6,0,64,54,8,10,2500,2500,13,14
8,1,4,P2,10113,PASS,P1,tasks,332,16,8,2,70,52,10,5,2500,2500,5,15
9,1,5,P1,10149,PASS,P1,tasks,368,17,9,0,80,69,10,6,2500,2500,8,22
10,1,5,P2,10150,PASS,P2,tasks,295,11,6,0,68,67,9,10,2500,2500,13,18
11,1,6,P1,10186,PASS,P1,tasks,239,13,7,1,51,33,10,2,2500,2500,8,26
12,1,6,P2,10187,PASS,P1,tasks,223,12,6,0,44,31,10,1,2500,2500,17,28
13,2,2,P1,10223,PASS,P1,tasks,237,9,5,4,42,61,10,8,2500,2500,18,27
14,2,2,P2,10224,PASS,P2,tasks,333,15,8,6,66,66,9,10,2500,2500,19,11
15,2,3,P1,10260,PASS,P1,tasks,237,13,7,2,54,29,10,2,2500,2500,21,29
16,2,3,P2,10261,PASS,P2,tasks,242,11,6,2,58,34,6,10,2500,2500,25,23
17,2,4,P1,10297,PASS,P2,tasks,283,14,7,7,57,42,8,10,2500,2500,12,21
18,2,4,P2,10298,PASS,P2,tasks,236,9,5,6,52,45,8,10,2500,2500,22,21
19,2,5,P1,10334,PASS,P2,deckout,475,31,16,3,83,71,8,0,2500,500,0,17
20,2,5,P2,10335,PASS,P2,tasks,237,9,5,3,51,55,4,10,2500,2500,24,20
21,2,6,P1,10371,PASS,P1,tasks,199,11,6,5,35,33,10,1,2500,900,16,29
22,2,6,P2,10372,PASS,P1,tasks,377,24,12,4,68,47,10,2,2500,2500,8,20
23,3,3,P1,10408,PASS,P1,tasks,235,13,7,1,53,29,10,4,2500,2500,24,26
24,3,3,P2,10409,PASS,P2,tasks,255,11,6,1,65,40,9,10,2500,2500,27,23
25,3,4,P1,10445,PASS,P1,tasks,277,11,6,2,68,48,10,9,2500,2500,24,15
26,3,4,P2,10446,PASS,P2,tasks,219,9,5,0,56,39,3,10,2500,2500,29,16
27,3,5,P1,10482,PASS,P2,tasks,261,12,6,1,55,56,8,10,2500,2500,23,21
28,3,5,P2,10483,PASS,P1,tasks,259,10,5,1,59,57,10,8,2500,2500,24,20
29,3,6,P1,10519,PASS,P1,knockout,347,31,16,1,59,20,2,1,2500,0,15,15
30,3,6,P2,10520,PASS,P1,tasks,188,12,6,0,42,20,10,1,2500,2100,23,28
31,4,4,P1,10556,PASS,P1,tasks,214,9,5,3,45,39,10,3,2500,2500,13,26
32,4,4,P2,10557,PASS,P2,tasks,241,9,5,2,56,44,5,10,2500,2500,24,13
33,4,5,P1,10593,PASS,P1,tasks,234,9,5,0,54,54,10,4,2500,2500,21,27
34,4,5,P2,10594,PASS,P2,tasks,267,9,5,0,60,67,8,10,2500,2500,19,19
35,4,6,P1,10630,PASS,P1,tasks,170,9,5,1,35,27,10,0,2500,2100,17,29
36,4,6,P2,10631,PASS,P1,tasks,225,10,5,1,49,36,10,5,2500,2500,18,25
37,5,5,P1,10667,PASS,P2,tasks,327,14,7,0,62,92,5,10,2500,2500,19,17
38,5,5,P2,10668,PASS,P1,tasks,243,10,5,0,50,64,10,7,2500,2500,20,21
39,5,6,P1,10704,PASS,P1,tasks,224,11,6,0,42,53,10,1,2500,2200,15,27
40,5,6,P2,10705,PASS,P1,tasks,345,16,8,0,70,74,10,4,2500,2500,22,18
41,6,6,P1,10741,PASS,P1,knockout,164,17,9,0,24,6,0,1,2500,0,24,26
42,6,6,P2,10742,PASS,P1,deckout,716,61,31,1,121,45,2,1,900,400,1,0
